"AMBIENT AIR QUALITY MONITORING DATA FOR THE YEAR 2019
(Manual monitoring under National Ambient Air Quality Monitoring Programme)",Column2,Column3,Column4,Column5,Column6,Column7
Gujarat,,CETP Nandesari,85,13,46,22
Gujarat,,Lubrizol,87,11,45,21
Gujarat,Vapi,"GEB, IIIrd Phase, GIDC",86,9,38,21
Gujarat,,"Vapi Nagar Palika, Vapi",87,9,35,18
Himachal Pradesh,Baddi,Industry Department Office Building,122,2,2,2
Himachal Pradesh,,AHC barotiwala,111,2,2,2
Himachal Pradesh,,Housing Board,52,2,2,2
Himachal Pradesh,Damtal,Regional Office,120,2,2,2
Himachal Pradesh,,Old Road,114,2,2,2
Himachal Pradesh,Dharamshala,Kotwali Bazar Dharamshala,85,2,2,2
Himachal Pradesh,,"Daari, Dharamshala",122,2,2,2
Himachal Pradesh,Gulaba,Behind green tax barrier,19,2,3,2
Himachal Pradesh,Kala Amb,Kala Amb Industrial Area,166,2,8,3
Himachal Pradesh,,Kala Amb Town/Trilokpur,161,2,8,3
Himachal Pradesh,Manali,"Nehru Park, Manali, Kullu",88,2,4,2
Himachal Pradesh,,"HPSPCB, Hadimba Road, Manali, Kullu",72,2,2,2
Himachal Pradesh,Marhi,Behind Police check post,12,2,2,
Himachal Pradesh,Nalagarh,Municipal Council,113,2,2,2
Himachal Pradesh,Paonta Sahib,Paonta Sahib,165,2,8,3
Himachal Pradesh,,Gondhpur Industrial Area,120,2,5,3
Himachal Pradesh,Parwanoo,"Regional Office, Sector- 4",133,2,4,2
Himachal Pradesh,,Asst. Commissioner Building Sector I,121,2,4,2
Himachal Pradesh,Shimla,"Bus Stand, Winterfield",203,2,7,2
Himachal Pradesh,Sunder Nagar,"HPSPCB, BBMB Colony, Mandi",143,2,2,2
Himachal Pradesh,,"Muncipal Council, NH-21, Mandi",107,2,2,2
Himachal Pradesh,Una,"Regional Office, Una",17,2,3,
Himachal Pradesh,Vashisht,"Behind pollution check barrier, Bahang /
Station No.-II1, Bahang",44,2,4,2
Jammu & Kashmir,Jammu,"Regional Office, Jammu",66,2,5,3
Jammu & Kashmir,,"M.A. Stadium, Jewel Chowk",62,2,5,3
Jammu & Kashmir,,Bari Brahamana Industrial Area,73,2,4,3
Jharkhand,Barajamda,Barajamda U.M. Office,91,13,35,17
Jharkhand,Dhanbad,R.O. Dhanbad,102,11,16,14
Jharkhand,,"EMTI, Bastacola",75,11,18,13
Jharkhand,,"CGM Office, Kusunda",100,10,17,13
Jharkhand,Jamshedpur,Bistupur Vehical Testing Centre,93,30,44,39
Jharkhand,,Golmuri Vehicle Testing Centre,91,31,42,38
Jharkhand,Jharia,M.A.D.A.,105,12,17,14
Jharkhand,Ranchi,"Albert Ekka Chowk, Main Road",96,11,27,18
Jharkhand,Saraikela,"RO Building, Adityapur",91,30,43,37
Jharkhand,Sindri,BIT / PDIL,73,10,16,13
Karnataka,Bagalkote,Bagalkote KSPCB Office Premises,85,2,2,2
Karnataka,Bangalore,"Graphite India, White Field Road",83,2,2,2
Karnataka,,"AMCO Batteries, Mysore Road",107,2,2,2
Karnataka,,"KHB Industrial Area, Yelahanka",80,2,2,2
Karnataka,,Peenya Industrial Area,52,2,2,2
Karnataka,,Victoria hospital,103,2,2,2
Karnataka,,Yeshwanthpura police station,100,2,2,2
Karnataka,,"Jnanabharathi, Bangalore University",102,4,12,7
Karnataka,,"RV College of Engineering, Mysore Road",1,8,8,
Karnataka,,"TERI office, Vital Medi healthcare Pvt Ltd",108,2,2,2
Karnataka,Belgaum,Karnataka SPCB Office Building,52,2,9,2
Karnataka,Bidar,KSPCB Office Premises,52,2,4,2
Karnataka,Bijapur,KSPCB Office Premises,38,2,2,2
Karnataka,Chitradurga,KSPCB Office Premises,105,2,20,6
Karnataka,Devanagere,"Regional Office building, KSPCB",94,2,20,6
Karnataka,,"Mothi Theatre, Gandhi Circle, P.B. Road /
Traffic Police Station",80,5,30,20
Karnataka,,"HPF Intakewell,  Kumarapattnam",102,2,13,5
Karnataka,Gulburga,Government Hospital,50,2,4,3
Karnataka,Hassan,KSRTC bus stand building,104,2,5,3
Karnataka,Hubli-Dharwad,"Lakkamanahalli Industrial Area, Dharwad",105,4,6,4
Karnataka,,"Rani Chennamma Circle, Hubli",104,4,6,5
Karnataka,Kolar,"KSPCB Office Premises, Kolar",98,2,2,2
Karnataka,Mandya,"KSPCB Building, Bandigowda Badarahe",107,2,9,2
Karnataka,Mangalore,Baikampady Industrial Area,92,5,9,7
Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg",111,2,12,2
Karnataka,,KSPCB Bldg. Hebbal Ind. Area,1,10,10,
Karnataka,Raichur,"KSPCB Office Premises, Raichur",77,2,7,2
Karnataka,Shimaga,"The VISL, Oxygen Plant, Shimoga",100,3,50,24
Karnataka,Timukuru,KSPCB Office Premises,103,2,2,2
Kerala,Alappuzha,"District Office, Alissery Road",107,2,2,2
Kerala,,"DC Mills, Pathirappally",25,2,2,2
Kerala,,William Goodacre Power House Bridge,71,2,5,2
Kerala,Kochi,"Eloor I, FACT, Ambalamughal",107,2,5,3
Kerala,,Eloor II,102,2,5,3
Kerala,,Irumpanam,105,2,3,2
Kerala,,Ernakulum South,65,2,2,2
Kerala,,VYTTILA,105,2,2,2
Kerala,,MG Road Bank Ernakulum,105,2,2,2
Kerala,,KALAMASSERY / CSIR Complex,103,2,3,2
Kerala,,Kuttipadam,42,2,12,5
Kerala,Kollam,"KSPCB, District Office, Kadappakada",110,2,3,2
Kerala,,KMML Chavara,110,2,5,3
Kerala,Kottayam,Kottayam,119,2,3,2
Kerala,,Vadavathoor,119,2,4,3
Kerala,Kozhikode,Kozhikode City,103,2,2,2
Kerala,,Nallalam,69,2,2,2
Kerala,Malapuram,"Kakkanchery, Sijmak oils",107,2,2,2
Kerala,Palakkad,SEPR Refractories India Ltd.,98,2,10,2
Kerala,Pathanamthitta,"KSPCB, Makkamkunnu",100,2,2,2
Kerala,Thiruvananthapu ram,PRS Hospital/COSMO,105,3,20,9
Kerala,,SMV School,105,4,22,9
Kerala,,VELI / HiTech Chackai,105,6,28,10
Kerala,,PETTAH / Sasthamangalam(plamadou),105,4,18,8
Kerala,Thissur,"KSPCB, District Office, Poonkunnam",104,2,12,3
Kerala,,Thissur/ Peringandoor,74,2,10,3
Kerala,Wayanad,Sulthan Bathery,104,2,2,2
Kerala,,Wayanad,79,2,2,2
Madhya Pradesh,Amlai,HJI,60,10,19,14
Madhya Pradesh,,OPM,69,9,16,12
Madhya Pradesh,Bhopal,"Hamidia Road, MP Hastshilp Vikas Nigam",71,2,28,11
Madhya Pradesh,,CETP Govindpura,88,2,16,9
Madhya Pradesh,,"Nutan Subhash School,  T.T. Nagar",36,2,5,2
Madhya Pradesh,,"Kolar Thana, Kolar Road, Bhopal",69,2,20,10
Madhya Pradesh,,"AKVN Office, Industrial Area Mandideep,
Raisen",71,8,22,14
Madhya Pradesh,,"Barkatuallah University, Hoshgabad Road,
Bhopal",71,2,13,7
Madhya Pradesh,,"Main Road, Hemu Colony, Bairagarh, Bhopal",76,2,14,8
Madhya Pradesh,,Arera Colony,82,2,11,3
Madhya Pradesh,Chhindwara,"HIG -33, Front of Geetanali Park Housing
Board Colony, Chadagaon",96,2,6,3
Madhya Pradesh,,"Hindustan Unileaver, Narsinghpur Road,",87,2,4,3
Madhya Pradesh,Dewas,EID Perry (I) Limited,94,9,33,19
Madhya Pradesh,,Dewas Metal Section,93,10,33,19
Madhya Pradesh,,Vikas Nagar,96,11,32,20
Madhya Pradesh,Gwalior,Dindayal Nagar,90,5,26,12
Madhya Pradesh,,Maharaj Bada,93,2,32,13
Madhya Pradesh,Indore,"M.P. Laghu Udyog, Pologround",103,4,13,9
Madhya Pradesh,,"Kothari Market, M.G. Road",109,3,20,9
Madhya Pradesh,,"Telephone Nagar, 26 A, Kanadia Road",109,5,12,9
Madhya Pradesh,Jabalpur,Vijay Nagar,101,2,2,2
Madhya Pradesh,,Udaipur Beverage Racchai,101,11,16,13
Madhya Pradesh,Katni,"HIG-4 Housing Board Colony Jhinjhri, Katni",96,7,18,10
Madhya Pradesh,,"Calderys Works Refactories India Private
Limited, Guest House, Katni",72,8,12,11
Madhya Pradesh,Nagda,Chem. D. Labour Club,79,7,26,14
Madhya Pradesh,,B C I Labour Club,80,4,13,8
Madhya Pradesh,,Grasim Kalyan Kendra,75,5,17,9
Madhya Pradesh,Prithampur,"Vikas Bhavan, Sector-2",94,6,14,10
Madhya Pradesh,,"RCC Over Head Tank No. 1, Sector-3",112,6,14,10
Madhya Pradesh,Sagar,Pt.Deendayal Nagar,69,2,6,4
Madhya Pradesh,,"Katra Bazar, Sagar",66,2,5,3
Madhya Pradesh,Satna,Sub-divisional Office E/M Light Machniery,77,2,6,4
Madhya Pradesh,,"MPPCB,Dharwari GaliNo.5,House No.318",75,2,6,3
Madhya Pradesh,Singrauli,Jayant Township,83,18,61,31
Madhya Pradesh,,"N.T.P.C., Vidyanagar",81,17,64,31
Madhya Pradesh,,Waidhan,87,13,63,30
Madhya Pradesh,Ujjain,District Office,67,9,14,11
Madhya Pradesh,,Regional Office,75,7,14,10
Madhya Pradesh,,Mahakal Temple,51,7,15,11
Madhya Pradesh,,Chamunda Mata Chouraha,49,8,15,11
Maharashtra,Akola,"LRT Commerce College, Civil Lines, Akola",88,11,14,12
Maharashtra,,"MIDC Water Work, Phash-II, MIDC Akola",143,11,18,15
Maharashtra,,"College Of Engineering & Tech, Akola",196,11,18,14
Maharashtra,Ambernath,Ambernath Municipal Council Office,131,12,47,27
Maharashtra,Amravati,"Apurva Oil Industries, A-23, MIDC",215,8,24,14
Maharashtra,,"Elect. Dept., Govt College Engineering",92,8,16,13
Maharashtra,,"Rajkamal Square, Vaneeta Samaj",154,8,24,14
Maharashtra,Aurangabad,S.B.E.S. College,144,6,24,14
Maharashtra,,Collector Ofiice,127,6,23,12
Maharashtra,,"C.A.D.A. Ofiice, Garkheda",91,7,24,14
Maharashtra,Badlapur,BIWA Office,187,11,58,27
Maharashtra,Bhiwandi,"Prematai Hall, Near Dhamankar Naka",101,22,44,32
Maharashtra,,"Fire Brigade Office, I.G.M. Hospital",165,22,44,32
Maharashtra,,"Regional Office, M.P.C. Board, Kalyan",237,22,44,31
Maharashtra,Chandrapur,Grampanchat Ghughus,94,4,7,4
Maharashtra,,M.I.D.C. Chandrapur,101,4,5,4
Maharashtra,,Nagar Parishad,163,3,5,4
Maharashtra,,"Gadchandur Gram Panchayat, Rajura",97,4,5,4
Maharashtra,,"MIDC, Tadali",97,4,6,4
Maharashtra,,"Muncipal Council, Ballarshah",99,4,5,4
